Region,Average Temp,Total Sales
Northeast,58.6,25038.0
Southeast,58.8,59270.0
Southeast,59.1,140805.0
Northeast,59.3,48440.0
Northeast,59.6,71564.0
South,59.6,147528.0
Southeast,59.8,82995.0
Southeast,59.8,79237.0
South,60.2,335946.0
Northeast,60.3,82581.0
West,60.5,80399.0
Northeast,60.6,33416.0
South,60.8,107083.0
Midwest,60.8,94179.0
Northeast,60.9,109914.0
South,61.0,39974.0
Southeast,61.0,51896.0
Northeast,61.0,68452.0
Midwest,61.0,23296.0
Midwest,61.0,31302.0
West,61.1,73048.0
Southeast,61.2,46016.0
West,61.4,614063.0
South,61.7,40807.0
Southeast,61.9,85751.0
West,61.9,72002.0
Midwest,62.0,30562.0
Northeast,62.4,28994.0
South,62.5,50539.0
Northeast,62.6,26278.0
West,62.9,37920.0
Northeast,63.4,51863.0
South,63.6,43630.0
Midwest,63.6,46878.0
Northeast,63.6,59702.0
Midwest,63.6,32541.0
Northeast,63.9,49819.0
South,64.0,125747.0
Northeast,64.0,44211.0
Northeast,64.0,46451.0
Midwest,64.3,26040.0
West,64.6,55470.0
West,64.6,55620.0
Northeast,64.8,56943.0
Northeast,64.9,30169.0
Southeast,64.9,157095.0
Northeast,65.2,77722.0
Midwest,65.2,101594.0
Midwest,65.2,15440.0
Southeast,65.4,108687.0
Southeast,65.4,56899.0
Midwest,65.4,79409.0
Midwest,65.6,20409.0
Southeast,65.6,29945.0
Southeast,65.7,60313.0
Northeast,65.8,87642.0
Southeast,65.8,50941.0
South,66.0,64072.0
Midwest,66.0,27394.0
Northeast,66.1,82260.0
Midwest,66.1,33504.0
Midwest,66.2,63677.0
Midwest,66.2,18104.0
Midwest,66.2,29831.0
Northeast,66.2,21739.0
Northeast,66.4,40327.0
Northeast,66.4,43488.0
Northeast,66.8,58629.0
West,67.1,78897.0
Southeast,67.2,163042.0
Northeast,67.4,116470.0
Northeast,67.4,67361.0
West,67.4,81322.0
West,67.4,51943.0
Southeast,67.4,73206.0
Midwest,67.6,130336.0
Northeast,67.6,30508.0
West,67.8,25252.0
West,67.9,93552.0
Southeast,67.9,38523.0
West,67.9,104115.0
Midwest,68.2,100867.0
West,68.3,174030.0
West,68.4,122033.0
Midwest,68.6,47465.0
South,68.6,69220.0
Northeast,68.6,54809.0
Northeast,68.7,30489.0
Midwest,68.8,22712.0
Southeast,68.8,60656.0
Midwest,68.9,53392.0
West,68.9,73729.0
Northeast,69.0,93488.0
Northeast,69.0,39269.0
Midwest,69.3,35512.0
Midwest,69.4,37913.0
Southeast,69.4,139449.0
Northeast,69.5,58585.0
Southeast,69.6,125420.0
Northeast,69.7,24527.0
Midwest,69.8,69840.0
Midwest,69.8,17976.0
South,69.9,30058.0
Southeast,70.0,104678.0
Northeast,70.1,24029.0
Northeast,70.2,67379.0
West,70.2,83552.0
Southeast,70.4,61224.0
Northeast,70.6,111373.0
South,70.6,235649.0
Midwest,70.8,46760.0
Northeast,71.1,41775.0
Midwest,71.4,35154.0
South,71.6,66281.0
Midwest,71.6,38857.0
South,71.7,43102.0
Midwest,71.8,18084.0
South,71.8,79768.0
Northeast,71.9,50048.0
Midwest,72.2,108075.0
Northeast,72.2,26825.0
Southeast,72.4,36562.0
Northeast,72.5,33795.0
West,72.7,99554.0
Southeast,72.8,141840.0
Southeast,72.8,28870.0
Southeast,72.9,78911.0
Northeast,73.0,45417.0
Midwest,73.1,41504.0
Southeast,73.2,83115.0
West,73.2,99665.0
Midwest,73.2,35642.0
Midwest,73.4,38179.0
Northeast,73.4,57009.0
West,73.6,44259.0
Midwest,73.8,38155.0
Northeast,73.8,49124.0
Midwest,73.8,83876.0
Southeast,73.9,178422.0
Midwest,73.9,34826.0
Midwest,73.9,108365.0
South,74.0,402082.0
West,74.0,59119.0
South,74.1,104114.0
Southeast,74.1,69751.0
South,74.2,59893.0
West,74.4,71996.0
Midwest,74.4,21806.0
Midwest,74.4,174105.0
Midwest,74.4,35405.0
Southeast,74.6,45075.0
Midwest,75.0,71615.0
Northeast,75.1,35852.0
Southeast,75.4,134320.0
Midwest,75.7,49788.0
Northeast,75.7,60643.0
Northeast,75.8,35574.0
Midwest,76.2,19565.0
Southeast,76.2,114446.0
South,76.4,186064.0
Southeast,76.7,99464.0
Midwest,76.8,65496.0
Southeast,76.8,73091.0
South,76.9,414850.0
Midwest,77.0,36862.0
Northeast,77.1,28827.0
West,77.2,69383.0
Northeast,77.2,46604.0
Southeast,77.4,107052.0
South,77.4,31566.0
Southeast,77.6,76164.0
South,77.9,43856.0
Southeast,78.0,151714.0
South,78.0,96355.0
Southeast,78.2,90733.0
Midwest,78.4,47619.0
Southeast,78.4,188133.0
South,78.6,81892.0
South,79.0,25159.0
South,79.4,110602.0
Southeast,79.6,212541.0
South,79.7,228659.0
South,79.8,40080.0
South,79.9,73814.0
South,80.0,479273.0
West,80.4,77612.0
South,80.6,61972.0
South,80.8,85626.0
West,81.0,80492.0
South,81.1,199274.0
Southeast,81.1,53544.0
Southeast,81.3,195837.0
South,81.4,133895.0
South,82.2,78212.0
Southeast,82.2,97347.0
